文件名	扩展名	大小(bytes)	Mapper	错误
˫ӥ[Joy Van](CN)[STG](0.5Mb).nes	nes	65552	146	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 146(146)
75宾果[Sachen](CN)[TAB](0.5Mb).nes	nes	65552	79	This ROM uses a mapper not supported by JSNES: Unknown Mapper(79)
暗黑破坏神[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
傲剑江湖[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
傲视三国志[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
八宝奇珠[外星科技汉化](JP)[RPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
八德汉卡王[八德](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
百万富翁[未知](CN)[TAB](8Mb).nes	nes	1048592	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
包青天[卡圣](CN)[ACT](4Mb).nes	nes	524304	248	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 248(248)
爆笑三国[外星科技 (147201688转简体版)](CN)[SLG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
爆笑三国[外星科技](CN)[SLG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
奔力电脑学习机[奔力](CN)[ETC](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
兵蜂3[MS汉化](JP)[STG](2Mb).nes	nes	262160	22	This ROM uses a mapper not supported by JSNES: Konami VRC2a(22)
仓库世家 & 动脑筋[小霸王](CN)[PUZ](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
超级大富翁[外星科技](CN)[TAB](8Mb).nes	nes	1048592	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
超级机器人大战A[南晶科技](CN)[SLG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
超级五笔汉卡V1[科王](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
超级五笔汉卡V2[科王](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
超级中国人2 海报.jpg	jpg	419647	-	Not an iNES ROM: header is not NES<EOF>
成吉思汗[外星科技汉化](JP)[SLG](4Mb).nes	nes	524304	198	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 198(198)
吃豆小精灵[叶枫汉化](JP)[PUZ](0.25Mb).nes	nes	32784	18	This ROM uses a mapper not supported by JSNES: Jaleco SS8806 chip(18)
宠物 - 翡翠[外星科技](CN)[RPG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
宠物 - 红[外星科技](CN)[RPG](8Mb).nes	nes	1048592	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
